Team,Player,Pos,Kicks,Marks,Handball,Goal,Behind,Hit-Out,Tackles,FreeFor,FreeAgainst,FantasyPoints
GCS,"Ellis, Brandon",MID,15.17,7.22,8.33,0.28,0.11,0,2.61,0.61,0.94,
GCS,"Bowes, Jack",DEF,16.16,5.11,5.11,0.05,0.11,0,2,0.53,0.79,
GCS,"Powell, Wil",DEF,11.77,5.23,6,0.05,0.05,0,2.45,0.95,0.64,
GCS,"Ballard, Charlie",DEF,10.81,6.67,2.9,0,0,0,1.19,0.95,0.76,
GCS,"Markov, Oleg",DEF,11.35,6.29,5.29,0.06,0.24,0,2.24,0.35,0.29,
GCS,"Lemmens, Sean",DEF,9.33,3.62,3.43,0,0,0,2.1,0.57,1.48,
GCS,"Greenwood, Hugh",MID,10.2,1.67,7.33,0.4,0.4,0.53,8.67,1.07,0.47,
GCS,"Ainsworth, Ben",FWD,11,5.29,4.35,0.71,1.06,0,2.06,0.82,0.82,
GCS,"Weller, Lachie",FWD,10.54,5.46,8,0.54,0.23,0,3.38,0.38,0.62,
GCS,"Fiorini, Brayden",MID,13.3,5.2,10.1,0.2,0.2,0,4.7,0.7,0.6,
GCS,"Collins, Sam",DEF,8,6.26,4.11,0,0,0,1.68,0.95,1.05,
GCS,"Sexton, Alex",FWD,7.95,4.14,2.38,1,0.67,0,1.1,0.67,0.33,
GCS,"Rankine, Izak",FWD,6.67,2.83,5.11,0.89,0.61,0,2.56,0.89,1.56,
GCS,"Holman, Nick",MID,6.94,4.19,5.88,0.63,0.31,0,4.5,0.94,0.94,
GCS,"Flanders, Sam",FWD,6,2.88,5.81,0.25,0.31,0,3.88,1.38,0.5,
GCS,"King, Ben",FWD,5.73,4.09,2.45,2.14,1.14,0.18,0.77,0.82,0.5,
GCS,"Burgess, Chris",RUC,5.89,3.53,3.26,0.53,0.53,9.32,2.21,0.84,0.63,
GCS,"Rowell, Matt",MID,5.5,1.83,8.58,0.17,0,0,4.08,2,1.08,
GCS,"Sharp, Jeremy",FWD,12.56,5.89,5.78,0.22,0.33,0,0.78,0.67,0.44,
GCS,"Macpherson, Darcy",FWD,8.91,4.36,5.45,0.09,0.55,0,3.91,0.82,0.91,
GCS,"Farrar, Jy",DEF,9,5.6,5.5,0,0,0,1.4,0.1,0.5,
GCS,"Corbett, Josh",FWD,6.31,4.88,2.56,1.44,0.69,0.25,0.75,0.81,0.75,
GCS,"Atkins, Rory",MID,5.88,2,5.13,0.25,0.25,0,1.13,0,0.38,
GCS,"Brodie, Will",FWD,5,1.4,7.8,0,0.2,0,1.6,0.6,0.6,
GCS,"Day, Sam",FWD,4.33,3.83,4.5,0.5,0.67,3.83,2.83,0.67,0.83,
GCS,"Witts, Jarrod",RUC,8,3,5.67,0,0.33,29,2.67,2,0.33,
GWS,"Taranto, Tim",FWD,15.5,4.92,11.04,0.54,0.54,0,5.33,1.08,0.96,
GWS,"Hopper, Jacob",MID,13.52,3.13,12.87,0.43,0.3,0,3.83,1.26,1.7,
GWS,"Kelly, Josh",MID,14.48,3.57,11.65,0.7,0.65,0,5.57,1,0.74,
GWS,"Ward, Callan",MID,11.58,3.75,11.13,0.63,0.21,0.21,2.96,1.42,1,
GWS,"Cumming, Isaac",DEF,15.5,5.46,6.38,0.04,0.17,0,2.33,0.5,0.75,
GWS,"Whitfield, Lachie",DEF,16.65,6.29,8.35,0.18,0.06,0,2.41,0.88,0.65,
GWS,"Perryman, Harry",DEF,14.89,5.11,7.33,0.22,0.28,0,2.17,0.67,0.33,
GWS,"Ash, Lachie",DEF,11.52,4.83,5.52,0.04,0.04,0,2.74,0.26,0.43,
GWS,"Haynes, Nick",DEF,12.05,7.43,5.71,0.05,0.05,0,0.81,0.67,0.62,
GWS,"Green, Tom",MID,7.72,3.06,12.28,0.39,0.33,0.06,2.94,1.06,0.83,
GWS,"Greene, Toby",FWD,12.89,4.33,4.28,2.5,2.28,0.11,2.17,1.83,1.61,
GWS,"Himmelberg, Harry",FWD,8.08,4.5,4.46,1.5,0.79,0.21,1.92,0.92,0.88,
GWS,"Idun, Connor",DEF,7.52,5.39,4.96,0,0,0,1.78,0.65,0.48,
GWS,"Taylor, Sam",DEF,8.63,6.11,5.74,0,0,0,2.05,1.16,0.42,
GWS,"Lloyd, Daniel",FWD,8.75,4.25,3.94,1.25,0.5,0,2.81,0.5,1.19,
GWS,"OHalloran, Xavier",MID,7.29,2.47,3.29,0.29,0.18,0,1.29,0.59,0.47,
GWS,"Daniels, Brent",FWD,7,1.69,6.62,0.15,0.31,0,2.69,0.92,0.31,
GWS,"Buckley, Jack",DEF,7.47,4.53,3.8,0,0.13,0.07,2.27,0.47,1.13,
GWS,"de Boer, Matt",MID,6,3.09,8.55,0.18,0.18,0,3.64,0.45,0.64,
GWS,"Hill, Bobby",FWD,6.65,1.94,2.41,0.82,0.71,0,2.82,0.59,0.24,
GWS,"Flynn, Matt",RUC,4.58,3.83,7.25,0.42,0.17,18.5,2.5,1.33,0.75,
GWS,"Mumford, Shane",RUC,3.14,1.36,7,0.29,0,26,4.86,1.93,1.86,
GWS,"Finlayson, Jeremy",FWD,8.15,3.08,2.69,1.77,0.69,1.85,1.15,1.08,0.85,
GWS,"Kennedy, Adam",DEF,8,3.89,6.56,0.11,0.11,0,2.22,0.56,0.56,
GWS,"Reid, Sam",FWD,4.27,1.67,3.87,0.27,0.27,0,2.33,0.47,1,
GWS,"Hogan, Jesse",FWD,8.22,6.33,4.56,2.22,1,0,1.22,0.67,0.78,
GWS,"Davis, Phil",DEF,5.82,4.27,4.27,0,0,0,1.45,0.91,1.27,
GWS,"Coniglio, Stephen",FWD,8.71,2,6,0.14,0.57,0,3.86,1,0.43,
GWS,"Bruhn, Tanner",FWD,4.31,1.23,3.46,0.31,0.31,0,2.54,0.62,0.38,
GWS,"Sproule, Zach",FWD,5.5,2.7,3.1,1.1,0.5,1.4,2.6,0.9,1.5,
GWS,"Riccardi, Jake",FWD,4.89,2.67,4.11,0.22,0.11,0.22,0.33,0.22,0.11,
GWS,"Keeffe, Lachlan",DEF,7.13,4.63,2.75,0.13,0,2.38,2,0.5,0.63,
GWS,"Briggs, Kieren",RUC,4.6,1.8,5.2,0.4,0,17,4.4,1.6,1.2,
GWS,"Peatling, James",DEF,6.75,3.75,3.75,0,0,0,1.5,1,1,
HAW,"Mitchell, Tom",MID,14.59,4.45,19.68,0.36,0.23,0,4.77,1.09,1.32,
HAW,"OMeara, Jaeger",MID,12.89,4.11,13.39,0.28,0.5,0,5.06,0.89,1.72,
