Player,Kicks,Marks,Handball,Goal,Behind,Hit-Out,Tackles,FreeFor,FreeAgainst,FantasyPoints
"Rohan, Gary",147,75,67,32,18,,41,22,14,
"OConnor, Mark",111,48,95,1,,,40,11,13,
"Cameron, Jeremy",118,57,57,39,16,,16,17,13,
"Guthrie, Zach",120,51,40,,1,,32,7,4,
"Holmes, Max",54,24,64,1,7,,32,3,4,
"Ratugolea, Esava",63,32,52,11,5,93,30,18,13,
"Clark, Jordan",61,26,52,3,2,,22,2,7,
"Simpson, Sam",28,13,25,2,2,,8,4,3,
"Constable, Charlie",21,13,16,1,,,3,1,1,
"Kreuger, Nathan",11,7,4,,,,8,2,2,
"De Koning, Sam",7,3,1,,2,1,,,2,
"Evans, Francis",8,4,,2,1,,1,,,
"Jenkins, Josh",5,2,3,,2,3,2,1,2,
,5599,2533,3937,295,213,873,1410,495,455,
,,,,,,,,,,
,,,,,,,,,,
Player  ,KI  ,MK  ,HB  ,GL  ,BH  ,HO  ,TK  ,FF  ,FA  ,
"Miller, Touk",334,95,334,8,8,1,149,35,26,
"Swallow, David",258,106,202,6,7,,99,16,24,
"Anderson, Noah",264,83,189,,6,,60,11,19,
"Lukosius, Jack",382,172,60,3,11,,32,13,20,
"Ellis, Brandon",273,130,150,5,2,,47,11,17,
"Bowes, Jack",307,97,97,1,2,,38,10,15,
"Powell, Wil",259,115,132,1,1,,54,21,14,
"Ballard, Charlie",227,140,61,,,,25,20,16,
"Markov, Oleg",193,107,90,1,4,,38,6,5,
"Lemmens, Sean",196,76,72,,,,44,12,31,
"Greenwood, Hugh",153,25,110,6,6,8,130,16,7,
"Ainsworth, Ben",187,90,74,12,18,,35,14,14,
"Weller, Lachie",137,71,104,7,3,,44,5,8,
"Fiorini, Brayden",133,52,101,2,2,,47,7,6,
"Collins, Sam",152,119,78,,,,32,18,20,
"Sexton, Alex",167,87,50,21,14,,23,14,7,
"Rankine, Izak",120,51,92,16,11,,46,16,28,
"Holman, Nick",111,67,94,10,5,,72,15,15,
"Flanders, Sam",96,46,93,4,5,,62,22,8,
"King, Ben",126,90,54,47,25,4,17,18,11,
"Burgess, Chris",112,67,62,10,10,177,42,16,12,
"Rowell, Matt",66,22,103,2,,,49,24,13,
"Sharp, Jeremy",113,53,52,2,3,,7,6,4,
"Macpherson, Darcy",98,48,60,1,6,,43,9,10,
"Farrar, Jy",90,56,55,,,,14,1,5,
"Corbett, Josh",101,78,41,23,11,4,12,13,12,
"Atkins, Rory",47,16,41,2,2,,9,,3,
"Graham, Caleb",52,42,33,,1,82,8,3,10,
"Smith, Zac",27,10,54,3,,191,23,14,15,
"Brodie, Will",25,7,39,,1,,8,3,3,
"Harbrow, Jarrod",50,27,10,,1,,7,2,3,
"Day, Sam",26,23,27,3,4,23,17,4,5,
"Witts, Jarrod",24,9,17,,1,87,8,6,1,
"Budarick, Connor",19,11,9,,,,4,1,3,
"Jeffrey, Joel",19,6,6,2,4,,4,1,2,
"Townsend, Jacob",15,8,9,3,,3,5,2,6,
"Rosas, Malcolm",14,5,5,,4,,6,1,2,
"Davies, Alex",5,2,11,,2,,6,,2,
,4978,2309,2871,201,180,580,1366,406,422,
,,,,,,,,,,
,,,,,,,,,,
Player  ,KI  ,MK  ,HB  ,GL  ,BH  ,HO  ,TK  ,FF  ,FA  ,
"Taranto, Tim",372,118,265,13,13,,128,26,23,
"Hopper, Jacob",311,72,296,10,7,,88,29,39,
"Kelly, Josh",333,82,268,16,15,,128,23,17,
"Ward, Callan",278,90,267,15,5,5,71,34,24,
"Cumming, Isaac",372,131,153,1,4,,56,12,18,
"Whitfield, Lachie",283,107,142,3,1,,41,15,11,
"Perryman, Harry",268,92,132,4,5,,39,12,6,
"Ash, Lachie",265,111,127,1,1,,63,6,10,
