PLAYER,K,H,M,T,FF,FA,HO,G,B,GA,D,ED,IED,I50,R50,CL,SP,CP,UCP,CM,FD,CS
Mitch Wallis,4.7,5.5,3.3,1.7,0.8,0.5,0,0.7,0.3,0.2,10.2,8,2.2,1.8,0,0.7,0.3,4.7,5.5,0.5,0.3,2.2
Thomson Dow,5.8,7.4,3.2,1,0.2,0.4,0,0,0.4,0.4,13.2,8.4,4.8,1.2,0.4,1,0.2,4.4,9,0,-0.2,2.2
Nathan Kreuger,5.5,2,3.5,4,1,1,0,0,0,0,7.5,6,1.5,0,1.5,0,4.5,2.5,6,0,0,1
Jaxon Prior,7.4,2.7,2.9,1.5,0.7,0.3,0,0.4,0.2,0.1,10.1,6.8,3.3,2.1,1.3,1,0.8,3.3,6.9,0.2,0.4,1.4
Brandon Walker,7.2,3.2,3.6,1.7,0.1,0.4,0,0,0.3,0.2,10.4,7.2,3.2,1.8,1.1,0.1,1.6,2.7,7.9,0.3,-0.3,1.9
Zaine Cordy,6.8,2.9,3.6,2,1,0.5,0.3,0,0,0,9.6,7.6,2,0.6,2.1,0.2,6,3.6,5.9,0.4,0.5,1.4
Jake Melksham,5.8,4.9,2.5,1.8,0.3,1,0,0.8,0.4,0.8,10.7,7.6,3.1,2.2,0.2,0.5,0.4,4.5,6.6,0.1,-0.7,2.2
Rhyan Mansell,7,4.1,2.7,2.2,1,1.1,0,0.1,0,0,11.1,8.9,2.2,1.2,2.8,0.2,2.1,3.1,7.5,0,-0.1,2
Laitham Vandermeer,4.7,5.3,2.6,2.4,0.6,0.9,0,0.6,0.7,0.9,10,7.1,2.9,1.9,0,0.3,0.3,4.4,6.3,0.4,-0.3,2.4
Brayden Cook,7.3,6.7,2,1,0,0.3,0,0,0,0,14,10.3,3.7,1.7,0.7,0.7,0,4.3,9.7,0,-0.3,1.3
Aiden Bonar,7.2,3.5,3.6,1.6,0.4,0.8,0,0,0,0,10.7,9,1.7,0.4,2.5,0.2,3.7,3.4,7,0.5,-0.4,1.6
James Madden,5.4,5.6,2.8,1.8,0.9,0.2,0,0.1,0,0,11,8.1,2.9,1.2,1.8,1.1,1.6,5.9,5.2,0.3,0.7,1.1
Mitch Crowden,4.7,6.5,2.3,1.9,0.5,0.3,0,0.3,0.5,0.7,11.1,8.6,2.5,2.3,0.1,0.8,0.2,4.3,7.2,0.1,0.3,0.7
