Playerÿÿ,Games,Kicks,Marks,Handball,Goal,Behind,Hit-Out,Tackles,FreeFor,FreeAgainst,FantasyPoints
"Atkins, Tom",22,207,84,169,,1,,75,9,27,
"Dangerfield, Patrick",16,212,71,159,8,7,,53,28,22,
"Bews, Jed",25,219,116,125,3,2,,50,17,15,
"Hawkins, Tom",25,215,129,127,62,37,92,50,14,35,
"Henry, Jack",24,217,150,119,7,2,10,43,17,8,
"Higgins, Shaun",18,157,80,177,4,12,,49,11,13,
"Blicavs, Mark",24,164,94,166,5,,283,67,32,23,
"Henderson, Lachie",21,230,146,92,3,2,,26,20,19,
"Duncan, Mitch",13,200,98,115,8,2,,33,16,5,
"Close, Brad",22,132,61,159,15,10,,72,25,8,
"Stanley, Rhys",19,152,74,129,8,5,391,33,26,21,
"Kolodjashnij, Jake",22,165,120,104,1,,,27,7,15,
"Dahlhaus, Luke",21,103,41,150,7,15,,79,18,19,
"Miers, Gryan",15,130,58,102,12,7,,23,12,4,
"Narkle, Quinton",16,86,37,129,4,4,,25,3,6,
"Rohan, Gary",21,147,75,67,32,18,,41,22,14,
"OConnor, Mark",14,111,48,95,1,,,40,11,13,
"Cameron, Jeremy",15,118,57,57,39,16,,16,17,13,
"Guthrie, Zach",13,120,51,40,,1,,32,7,4,
"Holmes, Max",12,54,24,64,1,7,,32,3,4,
"Ratugolea, Esava",15,63,32,52,11,5,93,30,18,13,
"Clark, Jordan",11,61,26,52,3,2,,22,2,7,
"Simpson, Sam",4,28,13,25,2,2,,8,4,3,
"Constable, Charlie",3,21,13,16,1,,,3,1,1,
"Kreuger, Nathan",2,11,7,4,,,,8,2,2,
"De Koning, Sam",1,7,3,1,,2,1,,,2,
"Evans, Francis",2,8,4,,2,1,,1,,,
"Jenkins, Josh",1,5,2,3,,2,3,2,1,2,
,,5599,2533,3937,295,213,873,1410,495,455,
,,,,,,,,,,,
,,,,,,,,,,,
Playerÿÿ,GMÿÿ,KIÿÿ,MKÿÿ,HBÿÿ,GLÿÿ,BHÿÿ,HOÿÿ,TKÿÿ,FFÿÿ,FAÿÿ,
"Miller, Touk",21,334,95,334,8,8,1,149,35,26,
"Swallow, David",21,258,106,202,6,7,,99,16,24,
"Anderson, Noah",20,264,83,189,,6,,60,11,19,
"Lukosius, Jack",22,382,172,60,3,11,,32,13,20,
"Ellis, Brandon",18,273,130,150,5,2,,47,11,17,
"Bowes, Jack",19,307,97,97,1,2,,38,10,15,
"Powell, Wil",22,259,115,132,1,1,,54,21,14,
"Ballard, Charlie",21,227,140,61,,,,25,20,16,
"Markov, Oleg",17,193,107,90,1,4,,38,6,5,
"Lemmens, Sean",21,196,76,72,,,,44,12,31,
"Greenwood, Hugh",15,153,25,110,6,6,8,130,16,7,
"Ainsworth, Ben",17,187,90,74,12,18,,35,14,14,
"Weller, Lachie",13,137,71,104,7,3,,44,5,8,
"Fiorini, Brayden",10,133,52,101,2,2,,47,7,6,
"Collins, Sam",19,152,119,78,,,,32,18,20,
"Sexton, Alex",21,167,87,50,21,14,,23,14,7,
"Rankine, Izak",18,120,51,92,16,11,,46,16,28,
"Holman, Nick",16,111,67,94,10,5,,72,15,15,
"Flanders, Sam",16,96,46,93,4,5,,62,22,8,
"King, Ben",22,126,90,54,47,25,4,17,18,11,
"Burgess, Chris",19,112,67,62,10,10,177,42,16,12,
"Rowell, Matt",12,66,22,103,2,,,49,24,13,
