Sam Petrevski-Seton,WCE,DEF,61.3,313
Luke Breust,HAW,FWD,61.2,314
Tom Highmore,STK,DEF,61.2,315
Trent Bianco,COL,FWD,61.2,316
Dougal Howard,STK,DEF,61.1,317
Nick Coffield,STK,DEF,61.1,318
Conor Nash,HAW,MID/FWD,61,319
Mark O'Connor,GEE,DEF/MID,60.9,320
Jordon Sweet,WBD,RUC,60.8,321
Rhys Mathieson,BRL,MID,60.8,322
Tom Jonas,PTA,DEF,60.8,323
Jordan Roughead,COL,DEF,60.7,324
Zach Guthrie,GEE,DEF,60.6,325
Mabior Chol,GCS,RUC,60.5,326
Tom De Koning,CAR,RUC,60.5,327
Matt de Boer,GWS,MID/FWD,60.4,328
Will Setterfield,CAR,MID,60.4,329
Jed Bews,GEE,DEF,60.3,330
Robbie Tarrant,RIC,DEF,60.3,331
Alex Sexton,GCS,FWD,60.2,332
Ben Brown,MEL,FWD,60.2,333
Mitch Lewis,HAW,FWD,60.1,334
Ethan Hughes,FRE,DEF,60,335
Josh J. Kennedy,WCE,FWD,59.9,336
Curtis Taylor,NTH,MID/FWD,59.7,337
Daniel McKenzie,STK,MID,59.7,338
Nick Blakey,SYD,DEF,59.7,339
Josh Schache,WBD,DEF/FWD,59.3,340
Sam Flanders,GCS,FWD,59.1,341
Dylan Grimes,RIC,DEF,59,342
Jy Farrar,GCS,DEF,59,343
Stephen Coniglio,GWS,MID/FWD,59,344
Marlion Pickett,RIC,MID,58.9,345
Joel Amartey,SYD,FWD,58.8,346
Sam Frost,HAW,DEF,58.7,347
Trent Rivers,MEL,DEF,58.7,348
Dan Hannebery,STK,MID,58.5,349
Jai Newcombe,HAW,MID,58.3,350
Brad Close,GEE,FWD,58,351
Connor Budarick,GCS,DEF,58,352
Lachie Schultz,FRE,FWD,58,353
Tim O'Brien,WBD,DEF/FWD,57.9,354
Callum Coleman-Jones,NTH,RUC/FWD,57.8,355
Zac Fisher,CAR,FWD,57.8,356
Jayden Laverde,ESS,DEF,57.7,357
Oscar Allen,WCE,FWD,57.7,358
Jason Castagna,RIC,FWD,57.5,359
Adam Kennedy,GWS,MID,57.3,360
Sam Draper,ESS,RUC,57.3,361
Cody Weightman,WBD,FWD,57.2,362
Gary Rohan,GEE,FWD,57.1,363
Eric Hipwood,BRL,FWD,56.9,364
Quinton Narkle,GEE,MID,56.9,365
Sam Wicks,SYD,FWD,56.9,366
Andrew McPherson,ADE,DEF,56.8,367
Matthew Cottrell,CAR,MID,56.8,368
Jarryn Geary,STK,MID,56.7,369
Matt Guelfi,ESS,MID,56.7,370
Liam Stocker,CAR,DEF,56.6,371
Max Holmes,GEE,MID/FWD,56.6,372
Riley Collier-Dawkins,RIC,MID,56.6,373
Tom Campbell,STK,RUC/FWD,56.6,374
Liam Ryan,WCE,FWD,56.5,375
Jordan Clark,FRE,MID,56.4,376
Travis Colyer,FRE,FWD,56.4,377
Tom Cole,WCE,DEF,56.3,378
Nikolas Cox,ESS,MID,56.2,379
Oscar McDonald,CAR,FWD,56,380
Daniel Rioli,RIC,DEF/FWD,55.9,381
Connor Idun,GWS,DEF,55.8,382
Jack Ross,RIC,MID,55.8,383
Todd Marshall,PTA,FWD,55.8,384
Chris Burgess,GCS,RUC/FWD,55.6,385
Jeremy Finlayson,PTA,FWD,55.4,386
Sam Collins,GCS,DEF,55.4,387
Sam Switkowski,FRE,FWD,55.4,388
Heath Chapman,FRE,DEF,55.3,389
James Peatling,GWS,DEF,55.3,390
Matt Rowell,GCS,MID,55.3,391
Luke Brown,ADE,DEF,55.1,392
Hayden McLean,SYD,FWD,55,393
Dan Butler,STK,FWD,54.8,394
Jack Payne,BRL,DEF,54.8,395
Max King,STK,FWD,54.7,396
Michael Hibberd,MEL,DEF,54.7,397
Noah Balta,RIC,DEF,54.7,398
Alex Keath,WBD,DEF,54.5,399
Charlie Spargo,MEL,FWD,54.5,400
Jayden Hunt,MEL,DEF,54.5,401
Nick Larkey,NTH,FWD,54.4,402
Tom McCartin,SYD,DEF,54.4,403
Anthony McDonald-Tipungwuti,ESS,FWD,54.1,404
Bailey Scott,NTH,FWD,54.1,405
Tom Clurey,PTA,DEF,54.1,406
Jake Bowey,MEL,DEF,54,407
James Rowe,ADE,FWD,53.3,408
Jackson Nelson,WCE,DEF,53.2,409
Josh Corbett,GCS,FWD,53.1,410
Josh Walker,NTH,DEF,53.1,411
Mitch Georgiades,PTA,FWD,53,412
Sam Durham,ESS,MID,53,413
Sam Simpson,GEE,FWD,53,414
Mitch Hannan,WBD,FWD,52.9,415
Jake Kolodjashnij,GEE,DEF,52.7,416
Luke Edwards,WCE,MID,52.7,417
Braeden Campbell,SYD,DEF,52.5,418
Luke Dahlhaus,GEE,FWD,52.5,419
Jack Mahony,NTH,FWD,52.3,420
Jackson Hately,ADE,MID,52.3,421
Lachie Young,NTH,DEF/MID,52.1,422
Callum L. Brown,COL,FWD,52,423
Michael Frederick,FRE,FWD,52,424
Adam Tomlinson,MEL,DEF,51.9,425
Brayden Ham,ESS,MID/FWD,51.9,426
Alec Waterman,ESS,FWD,51.8,427
Liam Jones,CAR,DEF,51.8,428
Matthew Owies,CAR,FWD,51.7,429
Ed Richards,WBD,DEF,51.6,430
Brent Daniels,GWS,FWD,51.3,431
Charlie Constable,GCS,MID,51.3,432
Will Brodie,FRE,MID/FWD,51.3,433
Riley Thilthorpe,ADE,FWD,51.2,434
Xavier O'Halloran,GWS,MID,51.2,435
Izak Rankine,GCS,FWD,51.1,436
Jared Polec,NTH,MID,51,437
Zach Reid,ESS,DEF,51,438
