Team,Player,Pos,Kicks,Marks,Handball,Goal,Behind,Hit-Out,Tackles,FreeFor,FreeAgainst,FantasyPoints
ESSE,"Draper, Sam",RUC,85,31,46,2,5,316,23,16,24,
ESSE,"Jones, Harry",FWD,77,57,40,20,6,4,21,7,6,
ESSE,"Caldwell, Jye",MID,27,8,19,0,1,0,16,6,0,
FREO,"Brayshaw, Andrew",MID,265,101,303,8,5,0,93,25,23,
FREO,"Mundy, David",MID,248,68,305,15,7,0,87,18,21,
FREO,"Serong, Caleb",MID,279,64,224,8,10,0,72,23,12,
FREO,"Cerra, Adam",MID,250,93,165,5,10,0,47,21,12,
FREO,"Aish, James",MID,236,92,178,1,8,0,49,13,13,
FREO,"Ryan, Luke",DEF,332,136,82,0,0,0,34,14,19,
FREO,"Fyfe, Nat",MID,154,58,207,6,21,0,61,18,36,
FREO,"Darcy, Sean",RUC,156,90,193,12,12,599,64,22,38,
FREO,"Acres, Blake",MID,184,67,138,2,0,10,45,12,18,
FREO,"Wilson, Nathan",DEF,233,74,71,0,4,0,18,12,13,
FREO,"Colyer, Travis",FWD,195,75,83,15,19,0,44,6,9,
FREO,"Tucker, Darcy",DEF,152,64,120,0,2,0,29,10,12,
FREO,"Walters, Michael",FWD,147,63,76,14,11,0,33,21,14,
FREO,"Schultz, Lachie",FWD,148,80,72,22,17,0,54,20,18,
FREO,"Logue, Griffin",DEF,113,76,71,0,0,0,22,13,12,
FREO,"Taberner, Matthew",FWD,135,89,42,37,17,0,10,16,17,
FREO,"Lobb, Rory",RUC,108,73,60,20,19,54,15,13,5,
FREO,"Crowden, Mitch",FWD,70,34,97,5,7,0,29,8,4,
FREO,"Henry, Liam",FWD,106,37,47,10,9,0,18,13,10,
FREO,"Switkowski, Sam",FWD,79,36,67,9,9,0,32,7,4,
FREO,"Cox, Brennan",DEF,87,56,55,0,0,1,11,4,12,
FREO,"Hughes, Ethan",DEF,75,29,64,0,1,0,12,6,5,
FREO,"Young, Hayden",DEF,85,45,42,0,0,0,19,7,3,
FREO,"Blakely, Connor",MID,50,30,66,1,2,0,11,8,5,
FREO,"Treacy, Josh",FWD,70,51,45,13,10,7,31,11,14,
FREO,"Frederick, Michael",FWD,52,35,16,5,11,0,7,5,1,
FREO,"Banfield, Bailey",FWD,29,12,27,4,2,0,14,3,6,
GEEL,"Guthrie, Cameron",MID,342,129,325,4,8,0,92,19,16,
GEEL,"Selwood, Joel",MID,278,77,274,6,4,0,113,54,28,
